external_id,license_code,state_code,category_code,text,explanation,image_name,difficulty,lang
CDL-AB-0001,cdl,,air_brakes,"Oil and water usually collect in compressed air tanks. If you do not have an automatic tank drain, when should you drain the air tanks?","If your vehicle does not have automatic air tank drains, drain your air tanks at the end of each working day to remove moisture and oil. Otherwise, the brakes could fail.",,1,en
CDL-AB-0002,cdl,,air_brakes,What is the S-cam used for?,"When you push the brake pedal, air is let into each brake chamber. Air pressure pushes the rod out, moving the slack adjuster, thus twisting the brake camshaft. This turns the s-cam forcing the brake shoes away from one another and presses them against the inside of the brake drum.",,1,en
CDL-AB-0003,cdl,,air_brakes,Which of the following makes the total stopping distance for air brakes longer than that for hydraulic brakes?,"With air brakes there is an added delay or Brake Lag. This is the time required for the brakes to work after the brake pedal is pushed. With hydraulic brake, the brakes work instantly. With air brakes it takes a little time, one half second or more, for the air to flow through the lines to the brakes.",,1,en
CDL-AB-0004,cdl,,air_brakes,The brake system that applies and releases the brakes when the driver uses the brake pedal is the:,The service brake system applies and releases the brakes when you use the brake pedal during normal driving.,,1,en
CDL-AB-0005,cdl,,air_brakes,"To make an emergency stop with air brakes, using the stab braking method, you should:","Stab braking means that you: apply your brakes all the way, and release brakes when wheels lock up. As soon as the wheels start rolling, apply the brakes fully again.",,1,en
CDL-AB-0006,cdl,,air_brakes,Brake lag distance at 55 mph is _____ feet?,The air brake lag distance at 55 mph on dry pavement adds about 32 feet.,,1,en
CDL-AB-0007,cdl,,air_brakes,"If your vehicle has an alcohol evaporator, it is there to:",Some air brake systems have an alcohol evaporator to put alcohol into the air system. This helps to reduce the risk of ice in air brake valves and other parts during cold weather. Daily air tank drainage is still needed to get rid of water and oil.,,1,en
CDL-AB-0008,cdl,,air_brakes,"What can legally hold a parking or emergency brake in position for a truck, truck tractor or bus?","All trucks, truck tractors, and buses must be equipped with emergency brakes and parking brakes. They must be held on by mechanical force because air pressure can eventually leak away. Spring brakes are usually used to meet these needs.",,1,en
CDL-AB-0009,cdl,,air_brakes,The braking power of the spring brakes:,"The braking power of spring brakes depends on the brakes being in adjustment. If the brakes are not adjusted properly, neither the regular brakes nor the emergency/parking brakes will work right.",,1,en
CDL-AB-0010,cdl,,air_brakes,Which of the following should you do before leaving your vehicle unattended?,Never leave your vehicle unattended without applying the parking brakes or chocking the wheels. Your vehicle might roll away and cause injury and damage,,1,en
CDL-AB-0011,cdl,,air_brakes,Under which conditions are front wheel brakes good?,Front wheel brakes have been shown to be ideal under all weather and driving conditions. Front wheel braking is unlikely to cause a skid even on icy roads.,,1,en
CDL-AB-0012,cdl,,air_brakes,"If the air tanks are not drained,","Compressed air usually has some water and some compressor oil in it, which is bad for the air brake system. For example, the water can freeze in cold weather and cause brake failure.",,1,en
CDL-AB-0013,cdl,,air_brakes,An antilock braking system (ABS),ABS is a computerized system that keeps your wheels from locking up during hard brake applications.,,1,en
CDL-AB-0014,cdl,,air_brakes,Which of the following can cause brakes to fade or fail?,Brakes can fade or fail from excessive heat caused by using them too much and not relying on the engine braking effect. Brake fade is also affected by adjustment.,,1,en
CDL-AB-0015,cdl,,air_brakes,What is the best way to test if your vehicle's spring brakes come on automatically?,"On both tractor-trailers and single vehicles, to test whether the spring brakes will come on automatically, use the same method you use for testing the low air pressure warning signal: Step on and off the brake pedal, this time until you reach an even lower psi reading and the parking brake valve closes or pops out.",,1,en
CDL-AB-0016,cdl,,air_brakes,"If your vehicle has a properly functioning dual air brake system and minimum-sized air tanks, the air pressure should build from 85 to 100 psi within ____ seconds.","When the engine is at operating rpms, the pressure should build from 85 to 100 psi within 45 seconds in dual air systems. If the vehicle has larger than minimum air tanks, the buildup time can be longer and still be safe.",,1,en
CDL-AB-0017,cdl,,air_brakes,The air compressor will stop pumping air into the air tanks at ____ psi.,"The governor controls when the air compressor will pump air into the air storage tanks. When air tank pressure rises to the ""cut-out"" level around 125 psi, the governor stops the compressor from pumping air. When the tank pressure falls to the ""cut-in"" pressure around 100 psi, the governor allows the compressor to start pumping again.",,1,en
CDL-AB-0018,cdl,,air_brakes,Excessive heat caused by overuse of the service brakes can cause,Brakes can fade or fail from excessive heat caused by using them too much and not relying on the engine braking effect.,,1,en
CDL-AB-0019,cdl,,air_brakes,"Excessive use of the service brakes may result in overheating, which can lead to","Brake fade results from excessive heat causing chemical changes in the brake lining, which reduce friction, and also causing expansion of the brake drums.",,1,en
CDL-AB-0020,cdl,,air_brakes,A typical air brake system is fully charged at,Pumping by the air compressor should start at about 100 psi and stop at about 125 psi.,,1,en
CDL-AB-0021,cdl,,air_brakes,"During normal driving, spring brakes are usually held back by","Parking or emergency brakes must be held on by mechanical force because air pressure can eventually leak away. Spring brakes are usually used to meet these needs. When driving, powerful springs are held back by air pressure.",,1,en
CDL-AB-0022,cdl,,air_brakes,"During your final air brake check, if the air pressure does not build up fast enough,","If air pressure does not build up fast enough, your pressure may drop too low during driving, requiring an emergency stop. Don't drive until you get the problem fixed.",,1,en
CDL-AB-0023,cdl,,air_brakes,"To test the static air leakage rate, you should","With a fully-charged air system (typically 125 psi), turn off the engine, release the parking brake (push in); and time the air pressure drop.",,1,en
CDL-AB-0024,cdl,,air_brakes,Air brakes use _________ to make the brakes work.,"Air brakes use compressed air to make the brakes work. Air brakes are a good and safe way of stopping large and heavy vehicles, but the brakes must be well maintained and used properly.",,1,en
CDL-AB-0025,cdl,,air_brakes,"When you press the brake pedal,","When you push the brake pedal, air is let into each brake chamber.",,1,en
CDL-AB-0026,cdl,,air_brakes,The air compressor governor controls:,"The governor controls when the air compressor will pump air into the air storage tanks. When air tank pressure rises to the ""cut-out"" level around 125 psi, the governor stops the compressor from pumping air. When the tank pressure falls to the ""cut-in"" pressure around 100 psi, the governor allows the compressor to start pumping again.",,1,en
CDL-AB-0027,cdl,,air_brakes,"Of the choices below, the first thing to do when a low air pressure warning comes on is:","When the low air pressure warning light and buzzer first come on, bring the vehicle to a safe stop right away, while you can still control the brakes.",,1,en
CDL-AB-0028,cdl,,air_brakes,Air brake equipped vehicles must have:,"All vehicles with air brakes have a pressure gauge connected to the air tank. If the vehicle has a dual air brake system, there will be a gauge for each half of the system.",,1,en
CDL-AB-0029,cdl,,air_brakes,"Modern air brake systems combines three different systems.  They are the service brakes, the parking brakes and the:","Air brakes are really three different braking systems: service brake, parking brake, and emergency brake.",,1,en
CDL-AB-0030,cdl,,air_brakes,"If you must make an emergency stop, you should brake so that you:","You should brake in a way that will keep your vehicle in a straight line and allow you to turn if it becomes necessary. You can use the ""controlled braking"" method or the ""stab braking"" method.",,1,en
CDL-AB-0031,cdl,,air_brakes,The driver must be able to see a warning that is given before air pressure in the service air tanks falls below:,"Low air warning devices (buzzer, light, flag) should activate before air pressure drops below 60 psi or level specified by the manufacturer.",,1,en
CDL-AB-0032,cdl,,air_brakes,The most common type of foundation brakes found on heavy vehicles is the:,Wedge brakes and disc brakes are less common than s-cam brakes.,,1,en
CDL-AB-0033,cdl,,air_brakes,When driving down a long steep hill you should:,"Snub braking method is used for steep downhill grades, in this method apply the brakes just hard enough to feel a definite slowdown. When your speed has been reduced to approximately five mph below your ""safe"" speed, release the brakes. When your speed has increased to your ""safe"" speed, repeat.",,1,en
CDL-AB-0034,cdl,,air_brakes,The modulating control valve is?,"In some vehicles, a control handle on the dash board may be used to apply the spring brakes gradually. This is called a modulating valve. It is spring loaded, so you have a feel for the braking action. The more you move the control lever, the harder the spring brakes come on. They work this way, so you can control the spring brakes if the service brakes fail.",,1,en
CDL-AB-0035,cdl,,air_brakes,Which of the following will be true about your brake function if your antilock braking system (ABS) fails?,Without ABS you still have normal brake functions. Drive and brake as you always have.,,1,en
CDL-AB-0036,cdl,,air_brakes,Which of the following is not part of the braking process when you're driving a tractor-trailer combination vehicle with an antilock braking system (ABS)?,"You should not drive faster to keep the tractor and trailer straight. When you drive a vehicle with ABS, you should brake as you always have. In other words: use only the braking force necessary to stop safely and stay in control; brake the same way regardless of whether you have ABS on the bus, tractor, the trailer, or both; as you slow down monitor your tractor and trailer and back off the brakes if it is safe to do so to stay in control.",,1,en
CDL-AB-0037,cdl,,air_brakes,Which of the following are true about a dual air brake system?,"Most heavy-duty vehicles use dual air brake systems for safety. A dual air brake system has two separate air brake systems, which use a single set of brake controls. One system or primary system typically operates the regular brakes on the rear axle or axles. The other or secondary system operates the regular brakes on the front axle and possibly one rear axle.",,1,en
CDL-AB-0038,cdl,,air_brakes,How can you tell if your vehicle is equipped with an antilock braking system (ABS)?,"The Department of Transportation requires that ABS be on: air brake vehicles built on or after March 1, 1998.",,1,en
