key,en-US,de-DE,fr-FR,es-ES,pt-BR,ja
s1_eyebrow,BULK SCAN,STAPEL SCAN,SCAN GROUPÉ,ESCANEO MASIVO,SCAN EM LOTE,一括スキャン
s1_headline,NON-STOP CARDS,KARTEN NONSTOP,CARTES EN CONTINU,CARTAS SIN PARAR,CARTAS SEM PARAR,ノンストップで
s1_subhead,Batch Card Scanner in Seconds,Karten-Batch-Scanner in Sekunden,Scanner de cartes par lot en secondes,Escáner de cartas por lote en segundos,Scanner de cartas em lote em segundos,カードを一気にスキャン
s2_eyebrow,GRADE,BEWERTEN,ÉVALUEZ,CALIFICA,AVALIE,鑑定
s2_headline,BEFORE PSA,VOR PSA,AVANT PSA,ANTES DE PSA,ANTES DA PSA,PSA提出前に
s2_subhead,"AI condition score with details in seconds","KI-Zustandsbewertung mit Details in Sekunden","Score IA de condition avec détails en secondes","Puntuación IA con detalles en segundos","Pontuação IA de condição com detalhes em segundos",AI状態スコアを秒で確認
s3_eyebrow,KNOW,WISSEN,SACHEZ,SABE,SAIBA,価値を知る
s3_headline,WHAT IT'S WORTH,WAS SIE WERT IST,CE QU'ELLE VAUT,CUÁNTO VALE,QUANTO VALE,本当の市場価値
s3_subhead,"Real market prices, not hype","Echte Marktpreise, kein Hype","Prix du marché réels, sans hype","Precios reales del mercado, sin hype","Preços reais do mercado, sem hype","実市場価格、誇張なし"
s4_eyebrow,ALERT,ALARM,ALERTE,ALERTAS,ALERTAS,アラート
s4_headline,ON PRICE MOVES,BEI PREISÄNDERUNGEN,SUR LES PRIX,DE PRECIOS,DE PREÇOS,価格変動を通知
s4_subhead,"Watch your Cards, Get Alerts & Live Data","Karten beobachten, Alerts & Live-Daten","Suivez vos cartes, alertes & données en direct","Sigue tus cartas, alertas y datos en vivo","Monitore cartas, alertas e dados em tempo real","カード監視・通知・リアルタイム"
s5_eyebrow,TRACK,VERFOLGE,SUIVEZ,GESTIONA,GERENCIE,管理
s5_headline,YOUR BINDER,DEIN BINDER,VOTRE CLASSEUR,TU BINDER,SEU BINDER,あなたのバインダー
s5_subhead,"A smart binder, for your collection","Smarter Binder für deine Sammlung","Un classeur intelligent, pour votre collection","Un binder inteligente, para tu colección","Um binder inteligente, para sua coleção","コレクション向けスマートバインダー"
s6_eyebrow,CATCH,ERWISCHE,ATTRAPEZ,CAPTURA,CAPTURE,すべて捕まえる
s6_headline,EVERY CARD,JEDE KARTE,CHAQUE CARTE,CADA CARTA,CADA CARTA,全てのカード
s6_subhead,Fix unclear or missed scans,Unklare oder verpasste Scans korrigieren,Corrigez les scans flous ou manqués,Corrige escaneos borrosos o perdidos,Corrija scans borrados ou perdidos,不鮮明・見逃しスキャンを修正
s7_eyebrow,SEE,SIEH,VOYEZ,VE EL,VEJA,価格履歴
s7_headline,PRICE HISTORY,PREIS-HISTORIE,HISTORIQUE DES PRIX,HISTORIAL DE PRECIOS,HISTÓRICO DE PREÇOS,価格の推移を見る
s7_subhead,Spot trends. Time your trades.,Trends erkennen. Perfekt handeln.,Repérez les tendances. Tradez au bon moment.,Detecta tendencias. Comercia a tiempo.,Identifique tendências. Opere na hora certa.,トレンド把握・売買タイミング
s8_eyebrow,EXPORT,EXPORT,EXPORT,EXPORTA,EXPORTE,エクスポート
s8_headline,COLLECTIONS TO CSV,SAMMLUNGEN ALS CSV,COLLECTIONS EN CSV,COLECCIONES A CSV,COLEÇÕES PARA CSV,コレクションをCSVへ
s8_subhead,"Import, Export & Backup anytime.","Import, Export & Backup jederzeit.","Import, export & sauvegarde à tout moment.","Importa, exporta y respalda cuando quieras.","Importe, exporte e faça backup a qualquer hora.",インポート・エクスポート・バックアップいつでも
