question_external_id,text,is_correct,sort_order
CDL-AB-0001,After every four hours of service.,0,0
CDL-AB-0001,After every working day.,1,1
CDL-AB-0001,Once a week.,0,2
CDL-AB-0002,To release the brakes.,0,0
CDL-AB-0002,To test the slack adjusters.,0,1
CDL-AB-0002,To apply the brakes.,1,2
CDL-AB-0003,Perception distance.,0,0
CDL-AB-0003,Reaction distance.,0,1
CDL-AB-0003,Brake lag distance.,1,2
CDL-AB-0004,Emergency brake system.,0,0
CDL-AB-0004,Service brake system.,1,1
CDL-AB-0004,Parking brake system.,0,2
CDL-AB-0005,Pump the brake pedal rapidly and lightly.,0,0
CDL-AB-0005,"Brake as hard as you can, get off the brakes when the wheels lock, get back on the brakes when the wheels start rolling again.",1,1
CDL-AB-0005,"Brake hard until the wheels lock, and then get off the brakes for as much time as the wheels were locked.",0,2
CDL-AB-0006,50,0,0
CDL-AB-0006,23,0,1
CDL-AB-0006,32,1,2
CDL-AB-0007,Rid the wet tank of alcohol that condenses and sits at the bottom.,0,0
CDL-AB-0007,Eliminate the need for daily tank draining.,0,1
CDL-AB-0007,Reduce the risk of ice in air brake valves in cold weather.,1,2
CDL-AB-0008,Fluid pressure,0,0
CDL-AB-0008,Spring pressure,1,1
CDL-AB-0008,Air pressure,0,2
CDL-AB-0009,Increases when the service brakes are hot.,0,0
CDL-AB-0009,Depends on the adjustment of the service brakes.,1,1
CDL-AB-0009,Is not affected by the condition of the service brakes.,0,2
CDL-AB-0010,Set the parking brakes.,0,0
CDL-AB-0010,Remove the keys.,0,1
CDL-AB-0010,Chock the wheels.,0,2
CDL-AB-0010,Do all of the above.,1,3
CDL-AB-0011,None,0,0
CDL-AB-0011,All weather conditions,1,1
CDL-AB-0011,Wet or icy conditions only,0,2
CDL-AB-0011,Good weather only,0,3
CDL-AB-0012,your transmission fluid may drain out.,0,0
CDL-AB-0012,your brakes may fail because of water freezing.,1,1
CDL-AB-0012,you will drive too quickly.,0,2
CDL-AB-0012,your left side brake will cease to operate.,0,3
CDL-AB-0013,increases your normal braking capability.,0,0
CDL-AB-0013,activates when your wheels are about to lock up.,1,1
CDL-AB-0013,decreases your normal braking capability.,0,2
CDL-AB-0013,shortens your stopping distance.,0,3
CDL-AB-0014,Excessive use of the service brakes,0,0
CDL-AB-0014,Not relying enough on engine braking,0,1
CDL-AB-0014,Brakes being out of adjustment,0,2
CDL-AB-0014,All of the above,1,3
CDL-AB-0015,Continue to step on and off the brake pedal until the manufacturer's low psi specification is met for spring brakes to deploy.,0,0
CDL-AB-0015,"On single vehicles, continue to step on and off the brake pedal until the parking brake valve pops out.",0,1
CDL-AB-0015,"On tractor-trailer vehicles, continue to step on and off the brake pedal until the parking brake valve pops out.",0,2
CDL-AB-0015,All of the above are correct.,1,3
CDL-AB-0016,60,0,0
CDL-AB-0016,20,0,1
CDL-AB-0016,45,1,2
CDL-AB-0017,125,1,0
CDL-AB-0017,150,0,1
CDL-AB-0017,100,0,2
CDL-AB-0018,the modulating control valve to wear out.,0,0
CDL-AB-0018,the brakes to fade.,1,1
CDL-AB-0018,the brake linings to split.,0,2
CDL-AB-0019,expansion of the brake drums.,1,0
CDL-AB-0019,improper adjustment of the S-cams.,0,1
CDL-AB-0019,increased contact between the brake drums and the brake linings.,0,2
CDL-AB-0020,150 psi.,0,0
CDL-AB-0020,75 psi.,0,1
CDL-AB-0020,125 psi.,1,2
CDL-AB-0021,bolts and braces.,0,0
CDL-AB-0021,springs.,0,1
CDL-AB-0021,air pressure.,1,2
CDL-AB-0022,the air pressure may drop too low during driving.,1,0
CDL-AB-0022,have the problem fixed after your trip is over.,0,1
CDL-AB-0022,the alcohol evaporator may be low.,0,2
CDL-AB-0023,"turn off the engine, release the parking brake, and let the system settle.",1,0
CDL-AB-0023,charge the air system and leave the engine running.,0,1
CDL-AB-0023,leave the engine running and release the parking brake.,0,2
CDL-AB-0024,hydraulic fluid,0,0
CDL-AB-0024,compressed air,1,1
CDL-AB-0024,natural gas,0,2
CDL-AB-0025,compressed air enters the brake chambers.,1,0
CDL-AB-0025,compressed air is released from the air tanks.,0,1
CDL-AB-0025,compressed air is released from the brake chambers.,0,2
CDL-AB-0026,The speed of the air compressor.,0,0
CDL-AB-0026,Air pressure applied to the brakes.,0,1
CDL-AB-0026,When air is pumped into the air tanks.,1,2
CDL-AB-0027,Stop and safely park as soon as possible.,1,0
CDL-AB-0027,Up shift.,0,1
CDL-AB-0027,Adjust the brake pedal for more travel.,0,2
CDL-AB-0028,An air use gauge.,0,0
CDL-AB-0028,A supply pressure gauge.,1,1
CDL-AB-0028,At least two brake heaters.,0,2
CDL-AB-0029,Emergency brakes.,1,0
CDL-AB-0029,Foot brakes.,0,1
CDL-AB-0029,S-cam brakes.,0,2
CDL-AB-0030,Can steer hard while braking hard.,0,0
CDL-AB-0030,Use the full power of the brakes and lock them.,0,1
CDL-AB-0030,Stay in a straight line and can steer.,1,2
CDL-AB-0031,20 psi,0,0
CDL-AB-0031,40 psi,0,1
CDL-AB-0031,60 psi,1,2
CDL-AB-0032,Disc brakes,0,0
CDL-AB-0032,Wedge drum,0,1
CDL-AB-0032,S-cam brake,1,2
CDL-AB-0033,"Release the brake when you are 5 mph below your ""safe"" speed.",1,0
CDL-AB-0033,Use stab braking.,0,1
CDL-AB-0033,Begin braking when you are 10 mph above your safe speed.,0,2
CDL-AB-0034,A spring-loaded valve that will let you put on the brakes on slowly if the service brakes fail.,1,0
CDL-AB-0034,There is no such thing.,0,1
CDL-AB-0034,Should not be used because it is very unsafe.,0,2
CDL-AB-0035,You will still have normal brake function and will just need to get the ABS repaired soon.,1,0
CDL-AB-0035,It may cause problems with other mechanical systems and possibly pose a huge fire risk.,0,1
CDL-AB-0035,It will slow your truck to a halt and force you to pull over.,0,2
CDL-AB-0035,You will have no brake function and your truck will be out of control.,0,3
CDL-AB-0036,"Brake the same way no matter what you're driving: a vehicle with ABS, a vehicle with a trailer, or something else.",0,0
CDL-AB-0036,"When you slow down, you should monitor your tractor and trailer and ease off the brakes to keep control.",0,1
CDL-AB-0036,You should use only the braking necessary to stay safely in control.,0,2
CDL-AB-0036,You should drive faster so that you will be able to keep the trailer and tractor straight.,1,3
CDL-AB-0037,"Usually, one system operates the front axle and the other one operates the rear axle.",0,0
CDL-AB-0037,It uses a single set of brake controls.,0,1
CDL-AB-0037,"One system is called the ""primary"" system and the other one is called the ""secondary"" system.",0,2
CDL-AB-0037,All of the above are true.,1,3
CDL-AB-0038,Check if the vehicle was manufactured after 2000.,0,0
CDL-AB-0038,Check if the vehicle was manufactured after 2010.,0,1
CDL-AB-0038,ABS is still optional.,0,2
CDL-AB-0038,Check if the vehicle was manufactured after 1998.,1,3
CDL-AB-0039,brakes that come on automatically on a truck or tractor when the psi drops too low.,0,0
